Particulars,Premium_Current_Month,Premium_Current_YTD,Premium_Previous_Month,Premium_Previous_YTD,Premium_YTD_Variation_Percent,Policies_Current_Month,Policies_Current_YTD,Policies_Previous_Month,Policies_Previous_YTD,Policies_YTD_Variation_Percent,Source_File,Date,Company,Company_Type,Premium_Variation_Zero_Base,Policy_Variation_Zero_Base
Individual Single Premium,17.22,106.98,11.12,92.91,15.15,200,1587,270,2595,-38.84,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,172.48,1419.62,154.24,1334.0,6.42,20936,198627,21792,208878,-4.91,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,65.66,1845.66,67.33,1268.14,45.54,8,48,4,79,-39.24,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,4.56,58.06,0.38,4.11,1313.8,0,1,0,2,-50.0,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,3.46,60.48,11.12,64.39,-6.08,33,410,61,494,-17.0,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,263.38,3490.8,244.19,2763.55,26.32,21177,200673,22127,212048,-5.36,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,17.35,189.04,12.79,107.35,76.1,383,4985,323,3661,36.16,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,28.9,182.9,23.99,221.53,-17.44,3705,25696,2928,36197,-29.01,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,35.13,86.29,14.81,114.13,-24.4,0,0,0,2,-100.0,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.05,0.0,0.33,-85.73,0,5,0,0,0.0,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,81.38,458.28,51.59,443.35,3.37,4088,30686,3251,39860,-23.02,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.0,9.58,0.82,7.32,30.86,0,298,90,475,-37.26,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,12.77,91.73,12.27,89.55,2.43,1622,14250,2214,15842,-10.05,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.99,0.29,2.25,-56.2,0,0,1,1,-100.0,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.07,1.06,0.06,1.13,-6.48,0,0,0,0,0.0,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2.99,46.1,3.83,83.48,-44.78,0,114,2,29,293.1,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,15.83,149.45,17.28,183.73,-18.66,1622,14662,2307,16347,-10.31,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,107.81,1148.44,92.66,869.33,32.11,366,4338,172,1528,183.9,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,468.9,3345.91,408.96,3025.32,10.6,56288,483041,55460,465660,3.73,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,59.18,314.76,40.79,259.85,21.13,3,17,1,99,-82.83,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
